院校名称,有数据的年份,缺失的年份,缺失年数
安徽新闻出版职业技术学院,2022,2021、2023、2024,3
北京电子科技学院,2022,2021、2023、2024,3
北京邮电大学世纪学院,2024,2021、2022、2023,3
昌吉学院,2024,2021、2022、2023,3
重庆电子科技职业大学,2024,2021、2022、2023,3
重庆工程学院,2024,2021、2022、2023,3
重庆文理学院,2024,2021、2022、2023,3
重庆中医药学院,2024,2021、2022、2023,3
福州理工学院,2024,2021、2022、2023,3
抚州幼儿师范高等专科学校,2022,2021、2023、2024,3
广东青年职业学院,2021,2022、2023、2024,3
广东轻工职业技术大学,2024,2021、2022、2023,3
广东舞蹈戏剧职业学院,2022,2021、2023、2024,3
广西蓝天航空职业学院,2021,2022、2023、2024,3
贵州电子信息职业技术学院,2021,2022、2023、2024,3
贵州黔南科技学院,2021,2022、2023、2024,3
国际关系学院,2022,2021、2023、2024,3
哈尔滨金融学院,2024,2021、2022、2023,3
海军工程大学,2022,2021、2023、2024,3
海军航空大学,2022,2021、2023、2024,3
海南医科大学西英格兰学院,2023,2021、2022、2024,3
邯郸职业技术学院,2021,2022、2023、2024,3
河北传媒学院,2024,2021、2022、2023,3
河北工业职业技术大学,2021,2022、2023、2024,3
河北能源职业技术学院,2021,2022、2023、2024,3
河南开封科技传媒学院,2024,2021、2022、2023,3
河南科技学院,2024,2021、2022、2023,3
黑龙江农业职业技术学院,2022,2021、2023、2024,3
黑龙江生态工程职业学院,2022,2021、2023、2024,3
黑龙江生物科技职业学院,2021,2022、2023、2024,3
湖北美术学院,2024,2021、2022、2023,3
湖南工商职业学院,2022,2021、2023、2024,3
惠州工程职业学院,2022,2021、2023、2024,3
火箭军工程大学,2022,2021、2023、2024,3
吉利学院,2024,2021、2022、2023,3
江苏海洋大学,2024,2021、2022、2023,3
江苏航运职业技术学院,2021,2022、2023、2024,3
江苏商贸职业学院,2022,2021、2023、2024,3
江西飞行学院,2024,2021、2022、2023,3
江西卫生职业学院,2021,2022、2023、2024,3
江西婺源茶业职业学院,2022,2021、2023、2024,3
江西艺术职业学院,2021,2022、2023、2024,3
金山职业技术学院,2022,2021、2023、2024,3
景德镇陶瓷职业技术学院,2022,2021、2023、2024,3
景德镇学院,2023,2021、2022、2024,3
空军工程大学,2022,2021、2023、2024,3
空军航空大学,2022,2021、2023、2024,3
昆明卫生职业学院,2021,2022、2023、2024,3
六盘水幼儿师范高等专科学校,2022,2021、2023、2024,3
陆军军事交通学院,2022,2021、2023、2024,3
陆军勤务学院,2022,2021、2023、2024,3
陆军装甲兵学院,2022,2021、2023、2024,3
南京传媒学院,2024,2021、2022、2023,3
南通师范高等专科学校,2022,2021、2023、2024,3
黔南民族师范学院,2021,2022、2023、2024,3
青岛电影学院,2024,2021、2022、2023,3
青岛求实职业技术学院,2022,2021、2023、2024,3
青海民族大学,2024,2021、2022、2023,3
三亚中瑞酒店管理职业学院,2022,2021、2023、2024,3
山东艺术学院,2024,2021、2022、2023,3
上海立达学院,2024,2021、2022、2023,3
上饶幼儿师范高等专科学校,2022,2021、2023、2024,3
深圳理工大学,2024,2021、2022、2023,3
四川工程职业技术大学,2024,2021、2022、2023,3
四川工商学院,2021,2022、2023、2024,3
四川卫生康复职业学院,2022,2021、2023、2024,3
四川文化产业职业学院,2022,2021、2023、2024,3
四川文化艺术学院,2024,2021、2022、2023,3
苏州高博软件技术职业学院,2022,2021、2023、2024,3
苏州经贸职业技术学院,2021,2022、2023、2024,3
苏州科技大学天平学院,2021,2022、2023、2024,3
太原幼儿师范高等专科学校,2022,2021、2023、2024,3
天津公安警官职业学院,2022,2021、2023、2024,3
天津美术学院,2024,2021、2022、2023,3
铁道警察学院,2022,2021、2023、2024,3
外交学院,2022,2021、2023、2024,3
乌海职业技术学院,2022,2021、2023、2024,3
无锡科技职业学院,2021,2022、2023、2024,3
无锡职业技术学院,2021,2022、2023、2024,3
武昌工学院,2024,2021、2022、2023,3
武汉工程科技学院,2021,2022、2023、2024,3
武警工程大学,2022,2021、2023、2024,3
武警海警学院,2022,2021、2023、2024,3
武夷山职业学院,2022,2021、2023、2024,3
西安铁路职业技术学院,2022,2021、2023、2024,3
香港城市大学,2022,2021、2023、2024,3
香港城市大学（东莞）,2024,2021、2022、2023,3
香港中文大学,2022,2021、2023、2024,3
香港中文大学（深圳）,2022,2021、2023、2024,3
潇湘职业学院,2022,2021、2023、2024,3
新疆和田学院,2024,2021、2022、2023,3
新疆科技学院,2024,2021、2022、2023,3
新疆艺术学院,2024,2021、2022、2023,3
新乡学院,2024,2021、2022、2023,3
信阳师范学院,2021,2022、2023、2024,3
徐州工业职业技术学院,2021,2022、2023、2024,3
燕山大学里仁学院,2021,2022、2023、2024,3
宜春幼儿师范高等专科学校,2022,2021、2023、2024,3
营口职业技术学院,2022,2021、2023、2024,3
云南理工职业学院,2022,2021、2023、2024,3
枣庄职业学院,2021,2022、2023、2024,3
